項目,カテゴリ,金額(目標),金額(実績),備考
"【収入】",,,
売上,収入,500000,500000,"A社:30万, B社:20万"
,,,
"【経費】",,,,"（所得計算のために集計する支出）"
地代家賃(按分),事業経費,48000,48000,"50%按分"
水道光熱費(按分),事業経費,15000,15000,"50%按分"
通信費(按分),事業経費,9100,9100,"70%按分"
その他事業経費,事業経費,77900,80000,"接待交際費(3万),交通費(3万),書籍代(2万)"
"経費 合計",,150000,152100,""
,,,
"【生活費・固定費】",,,,"（経費にならない支出）"
家賃,生活費,96000,96000,"※自宅兼事務所の場合、一部を経費にすることも可能"
水道光熱費,生活費,30000,30000,"※同上"
通信費,生活費,5000,13000,"※同上"
食費,生活費,20000,30000,""
タバコ,生活費,,15000,""
借金返済,固定費,100000,100000,"経費にはならない"
税金・社会保険料,公的支払い,92000,92000,"概算値"
"生活費等 合計",,343000,376000,""
,,,
"【収支サマリー】",,,,
所得,（売上 - 経費）,350000,347900,"この金額が税金計算の基準になります"
"最終的な黒字",（所得 - 生活費等合計）,7000,-28100,"手元の現金からの補填額"
